cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200823.html'>0200823</a>,EPC N° 24 MAIPU - JIN B (EPCJS 24/18°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200823.html'>GALLARDO 521</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200825.html'>0200825</a>,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 06 CLELIA A C SESSA",<a href='https://jpcib.github.io/sistemaBochi/pages/0200825.html'>MORON 4460</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200826.html'>0200826</a>,ESCUELA INF. N° 05/18°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200826.html'>ARREGUI 4430</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200827.html'>0200827</a>,COLEGIO N° 13 CNEL. TOMAS ESPORA - EEM N° 01/18° E REINGRESO - PI LUZ DE LUNA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200827.html'>GALLARDO 149</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200828.html'>0200828</a>,ESC. DE COM. N° 30 DR. ESTEBAN AGUSTIN GASCON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200828.html'>SAN BLAS 5387</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200829.html'>0200829</a>,ESC. DE COM. N° 33 MAIPU,<a href='https://jpcib.github.io/sistemaBochi/pages/0200829.html'>AVDA. ALVAREZ JONTE 5075</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200830.html'>0200830</a>,ESC. TEC. N° 27 HIPOLITO YRIGOYEN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200830.html'>VIRGILIO 1980</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200831.html'>0200831</a>,ESC. TEC. N° 35 ING. EDUARDO LATZINA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200831.html'>AVDA. LOPE DE VEGA 2150</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200832.html'>0200832</a>,ESEA DANZA N° 02 JORGE DONN - ESEA ARTE CERAMICO Nª 2 FERNANDO ARRANZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200832.html'>ALEJANDRO MAGARIÑOS CERVANTES 5068</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200833.html'>0200833</a>,"ESC. BILINGÜE PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD AUDITIVA Y FORMACIÓN INTEGRAL N° 29 O MAGNASCO - ESC. INFANTIL ESPECIAL N° 27 DRA. LIDIA F. DE CORIAT - GABINETE MATERNO INFANTIL DE 18 - PI MAGNASCO",<a href='https://jpcib.github.io/sistemaBochi/pages/0200833.html'>CHIVILCOY 1820</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200834.html'>0200834</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 18,<a href='https://jpcib.github.io/sistemaBochi/pages/0200834.html'>SAN BLAS 4356</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200836.html'>0200836</a>,CENS N° 73 - CENS N° 88,<a href='https://jpcib.github.io/sistemaBochi/pages/0200836.html'>MIRANDA 4173</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200838.html'>0200838</a>,CAEBYT N° 78 P SAN CAYETANO - CENOF CENTRO SAN CAYETANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200838.html'>CUZCO 220</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200839.html'>0200839</a>,COLEGIO N° 18 DR. ALBERTO LARROQUE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200839.html'>MORON 4149</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200844.html'>0200844</a>,Sup Inicial  VI A A Sup Primaria DE19 - JIN B (EPCJS 01/19°) HOMERO MANZI - EPC N° 01 MARIA SILVENTI DE AMATO - ESC. DE MUSICA N° 12,<a href='https://jpcib.github.io/sistemaBochi/pages/0200844.html'>ALAGON 300</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200845.html'>0200845</a>,EPC N° 02 DR. GENARO SISTO - JIN A (EPCJS 02/19°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200845.html'>TILCARA 3365</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200846.html'>0200846</a>,EPC N° 03 PROF. CARLOS JUSTO FLORIT - CENS N° 84,<a href='https://jpcib.github.io/sistemaBochi/pages/0200846.html'>TILCARA 2856</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200847.html'>0200847</a>,EPC N° 04 RICARDO GÜIRALDES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200847.html'>AVDA. RIESTRA 1850</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200848.html'>0200848</a>,EPC N° 05 PROVINCIA DE CORRIENTES - CECEP N° 19,<a href='https://jpcib.github.io/sistemaBochi/pages/0200848.html'>AVDA. CASEROS 4050</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200849.html'>0200849</a>,EPC N° 06 DR. ADOLFO SALDIAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200849.html'>ECHAURI 1576</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200850.html'>0200850</a>,EPC N° 07 AERONAUTICA ARGENTINA - CECIE N° 19,<a href='https://jpcib.github.io/sistemaBochi/pages/0200850.html'>QUILMES 473</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200851.html'>0200851</a>,EPC N° 08 LUIS FEDERICO LELOIR - JIN A (EPCJC 08/19°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200851.html'>AVDA. INTENDENTE FRANCISCO RABANAL 2275</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200852.html'>0200852</a>,CENS N° 77 - JIN A (EPCJS 09/19°) [S] - EPC N° 09 DR. JOSE BENJAMIN ZUBIAUR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200852.html'>CARLOS BERG 3460</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200853.html'>0200853</a>,JIN B (EPCJC 10/19°) - EPC N° 10 JUAN ANDRES DE LA PEÑA - INST. DE ENSEÑANZA SUPERIOR EN LENGUAS VIVAS JUAN RAMÓN FERNÁNDEZ (ANEXO),<a href='https://jpcib.github.io/sistemaBochi/pages/0200853.html'>ANIBAL PEDRO ARBELETCHE 1052</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200854.html'>0200854</a>,EPC N° 11 IGNACIO FERMIN RODRIGUEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200854.html'>PJE. LA CONSTANCIA 2524</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200855.html'>0200855</a>,CFP N° 24 -Anexo - JII N° 01/19° MANUEL BELGRANO - EPC N° 12 JOSE ENRIQUE RODO - EPA N° 12 JOSE ENRIQUE RODO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200855.html'>CALLE S/NOMBRE 200 M COBO Y CURAPALIGUE</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200856.html'>0200856</a>,EPC N° 13 PRESBITERO ALBERTI - JIC N° 02/19°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200856.html'>ITAQUI 2050</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200857.html'>0200857</a>,EPC N° 14 CAPIT.MARIA REMEDIOS DEL VALLE - JIN A (EPCJC 14/19°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200857.html'>AVDA. INTENDENTE FRANCISCO RABANAL 2751</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200858.html'>0200858</a>,EPC N° 15 EVARISTO CARRIEGO - ESC. DE MUSICA N° 04,<a href='https://jpcib.github.io/sistemaBochi/pages/0200858.html'>PORTELA 3150</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200859.html'>0200859</a>,JIC N° 08/19° - EPC N° 16 WILLIAM C. MORRIS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200859.html'>AVDA. LAFUENTE 2670</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200860.html'>0200860</a>,JIC N° 03/19° - EPC N° 17 GASPAR LUCILO BENAVENTO - CENOF CENTRO CORRALES - PI BICHITO DE LUZ - EPC N° 18 SAN JUAN BAUTISTA DE LA SALLE - EPA N° 18 SAN JUAN BAUTISTA DE LA SALLE - JII N° 07/19° - CAIYJ CLUB DE JOVENES SOLDATI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200860.html'>CORRALES 3420</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200862.html'>0200862</a>,EPC N° 19 JOSE MARTI - EPA N° 19 JOSE MARTI,"<a href='https://jpcib.github.io/sistemaBochi/pages/0200862.html'>PJE. L, E/LACARRA Y LAGUNA</a>"
<a href='https://jpcib.github.io/sistemaBochi/pages/0200863.html'>0200863</a>,POLIDEPORTIVO - EEM N° 02/19° - PI JAURETCHITOS - EEM N° 02/19° ARTURO JAURETCHE - CAEBYT N° 16 - CAEBYT N° 06 - EPC N° 20 MAESTRO CARLOS A. CARRANZA - CAIYJ CLUB DE JOVENES ARTURO JAURETCHE - JII N° 10/19° ([A]) - PI NOCHECITAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200863.html'>MARTINEZ CASTRO 3061</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200864.html'>0200864</a>,EPC N° 21 GUILLERMO JOSE BARROS - CENS N° 71 - CAIYJ CLUB DE JOVENES FATIMA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200864.html'>MARIANO ACOSTA 2976</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200865.html'>0200865</a>,JIN B (EPCJS 11/19°) [S] HOMERO MANZI - EPC N° 22 JUANA AZURDUY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200865.html'>MOM 2380</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200868.html'>0200868</a>,ESCUELA INF. N° 05/19° SAN LORENZO DE ALMAGRO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200868.html'>AVDA. VARELA 2751</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200869.html'>0200869</a>,ESCUELA INF. N° 04/19° DR. RAMON CARRILLO,"<a href='https://jpcib.github.io/sistemaBochi/pages/0200869.html'>PJE. L, E/LACARRA y LAGUNA</a>"
<a href='https://jpcib.github.io/sistemaBochi/pages/0200870.html'>0200870</a>,ESC. TEC.  N° 33 F. MAESTRANZA DEL PLUMERILLO - CAIYJ CLUB POMPEYA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200870.html'>AVDA. INTENDENTE FRANCISCO RABANAL 1549</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200871.html'>0200871</a>,EEM N° 03/19° - CAIYJ CLUB BAJO FLORES - CAIYJ CLUB DE CHICOS BAJO FLORES - PI CUYEN - ESCUELA INF. N° 06/19°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200871.html'>AGUSTIN DE VEDIA 2519</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200872.html'>0200872</a>,ESC. PARA NIÑOS Y NIÑAS CON DISCAPACIDAD MENTAL N° 05 DR. ANGEL ARDAIZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200872.html'>FERRE 1957</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200873.html'>0200873</a>,"ESC. PARA NIÑOS, NIÑAS Y JÓVENES CON DISCAPACIDAD MENTAL Y DE FORMACIÓN INTEGRAL N° 07 JUAN XXIII",<a href='https://jpcib.github.io/sistemaBochi/pages/0200873.html'>MARIANO ACOSTA 2936</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200874.html'>0200874</a>,ESC. DE EDUC. MEDIA Nº 05 DE 19 E.REINGRESO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200874.html'>AVDA. GRAL. FERNANDEZ DE LA CRUZ 3605</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200875.html'>0200875</a>,ESCUELA INF. N° 09/19°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200875.html'>CNEL. MARTINIANO CHILAVERT 2680</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200879.html'>0200879</a>,CAEBYT N° 43 C R CARRILLO - CENOF CENTRO CARRILLO - CAIYJ CLUB CARRILLO - PI CENTRO COMUNITARIO RAMON CARRILLO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200879.html'>MARTINEZ CASTRO S/N  B° CARRILLO</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200886.html'>0200886</a>,EEM N° 04/19° HOMERO MANZI - PI POMPEYITOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200886.html'>AVDA. SAENZ 631</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200887.html'>0200887</a>,EEM N° 06/19 - EPC N° 23 RENÉ FAVALORO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200887.html'>CNEL. MARTINIANO CHILAVERT 2680</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200889.html'>0200889</a>,"Sup Educ.Media y Téc.RegiónV-DE 13, 19, 20, 21",<a href='https://jpcib.github.io/sistemaBochi/pages/0200889.html'>AVDA. INTENDENTE FRANCISCO RABANAL 1507</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200892.html'>0200892</a>,JII N° 14/19°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200892.html'>AVDA. VARELA 1802</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200894.html'>0200894</a>,CFP N° 24 -Anexo CooPa-,<a href='https://jpcib.github.io/sistemaBochi/pages/0200894.html'>JOSE HERNANDEZ 800</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200895.html'>0200895</a>,EPC Nº 07 Aeronáutica Argentina (anexo),<a href='https://jpcib.github.io/sistemaBochi/pages/0200895.html'>QUILMES 484</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200898.html'>0200898</a>,EPC N° 01 DE LA INDEPENDENCIA ARGENTINA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200898.html'>GUAMINI 1167</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200899.html'>0200899</a>,EPC N° 02 DR. FRANCISCO MELITON ALVAREZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200899.html'>MONTIEL 1041</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200900.html'>0200900</a>,EPC N° 03 REPUBLICA FRANCESA - CENOF CENTRO MONTIEL - CFP N° 26 ([A]),<a href='https://jpcib.github.io/sistemaBochi/pages/0200900.html'>MONTIEL 153</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200901.html'>0200901</a>,EPC N° 04 GRAL. FELIX DE OLAZABAL - JIN B (EPCJC 04/20°) - ESC. DE MUSICA N° 14,<a href='https://jpcib.github.io/sistemaBochi/pages/0200901.html'>CNEL. RAMON L. FALCON 6702</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200902.html'>0200902</a>,EPC N° 05 VICENTE LOPEZ Y PLANES - CENS N° 02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200902.html'>TANDIL 6690</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200903.html'>0200903</a>,EPA N° 06 PROF. FELIPE BOERO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200903.html'>AVDA. EVA PERON 7431</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200904.html'>0200904</a>,EPC N° 07 ARISTOBULO DEL VALLE - JIN C (EPCJS 07/20°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200904.html'>CARHUE 2157</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200905.html'>0200905</a>,Sup Primaria DE20 A Sup Adultos Region IV A - JIN B (EPCJC 08/20°) [S] - EPC N° 08 DR. DALMACIO VELEZ SARSFIELD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200905.html'>FONROUGE 346</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200906.html'>0200906</a>,EPC N° 09 JOSE MARIA TORRES - JIN B (EPCJS 09/20°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200906.html'>AVDA. LARRAZABAL 420</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200907.html'>0200907</a>,EPC N° 10 ALFONSINA STORNI - EPA N° 10 ALFONSINA STORNI - JIN C (EPCJS 10/20°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200907.html'>AVDA. LISANDRO DE LA TORRE 1171</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200908.html'>0200908</a>,EPC N° 11 EMILIO VON BEHRING,<a href='https://jpcib.github.io/sistemaBochi/pages/0200908.html'>AVDA. CNEL. CARDENAS 2652</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200909.html'>0200909</a>,CENS N° 25 - JIN B (EPCJS 12/20°) - EPC N° 12 PROF. RAMON J. GENE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200909.html'>GARCIA DE COSSIO 5570</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200910.html'>0200910</a>,EPC N° 13 REPUBLICA DE FILIPINAS - JIN C (EPCJS 13/20°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200910.html'>COSQUIN 1943</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200911.html'>0200911</a>,EPC N° 14 ISLAS MALVINAS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200911.html'>AVDA. DE LOS CORRALES 7040</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200912.html'>0200912</a>,EPC N° 15 REPUBLICA ISLAMICA DE PAKISTAN - JIN B (EPCJC 15/20°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200912.html'>AVDA. LISANDRO DE LA TORRE 550</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200913.html'>0200913</a>,EPC N° 16 DR. MARTINIANO LEGUIZAMON - JIN C (EPCJC 16/20°) [S],<a href='https://jpcib.github.io/sistemaBochi/pages/0200913.html'>MARTINIANO LEGUIZAMON 1470</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200914.html'>0200914</a>,EPC N° 17 CARLOS MOREL - EPA N° 17 CARLOS MOREL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200914.html'>IBARROLA 7249</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200915.html'>0200915</a>,EPC N° 18 REPUBLICA DE COREA - JIN B (EPCJC 18/20°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200915.html'>MURGUIONDO 76</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200916.html'>0200916</a>,EPC N° 19 ROMA - JII N° 14/20 - CENTRO DE ACTIVIDADES INFANTILES Y JUVENILES CLUB DE CHICOS MATADEROS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200916.html'>COSQUIN 3100</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200917.html'>0200917</a>,EPC N° 20 JUAN RAMON JIMENEZ - JIN C (EPCJC 20/20°) - CECIE N° 20,<a href='https://jpcib.github.io/sistemaBochi/pages/0200917.html'>MURGUIONDO 1347</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200918.html'>0200918</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 20 ALICIA MOREAU DE JUSTO - EPA N° 21 SOLDADO DE MALVINAS - EPC N° 21 SOLDADO DE MALVINAS - JIC N° 10/20°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200918.html'>GOLETA SANTA CRUZ 6997</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200919.html'>0200919</a>,JII N° 01/20° - EPC N° 22 RUFINO LURO CAMBACERES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200919.html'>MONTIEL 3826</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200920.html'>0200920</a>,JIC N° 02/20°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200920.html'>MONTIEL 1174</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200922.html'>0200922</a>,CFP N° 04 (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200922.html'>CARHUE 2970</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200923.html'>0200923</a>,JII N° 03/20° - CAIYJ MATADEROS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200923.html'>AVDA. PIEDRA BUENA 3100 Y AVDA. EVA PERON</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200926.html'>0200926</a>,ESCUELA INF. N°06/20° JUAN FRANCISCO SALABERRY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200926.html'>PILAR 1798</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200927.html'>0200927</a>,EEM N° 02/20° - JM N° 05/20° (A) - CAIYJ CLUB MATADEROS - IFTS N° 02,<a href='https://jpcib.github.io/sistemaBochi/pages/0200927.html'>CAÑADA DE GOMEZ 3850</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200928.html'>0200928</a>,Sup Inicial V B - JII N° 07/20°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200928.html'>AVDA. LISANDRO DE LA TORRE 2288</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200930.html'>0200930</a>,CFP N° 10 RAUL S. ORTIZ ([A]) - SEC,<a href='https://jpcib.github.io/sistemaBochi/pages/0200930.html'>AVDA. EMILIO CASTRO 6603/6621</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200931.html'>0200931</a>,CFP N° 11 ([A]) - SAME,<a href='https://jpcib.github.io/sistemaBochi/pages/0200931.html'>AVDA. EMILIO CASTRO 7680</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200937.html'>0200937</a>,"CENOF CENTRO CONVIVEN MATADEROS - PRIMERA INFANCIA CENTRO COMUNITARIO CONVIVEN - CAEBYT N° 48 CENTRO COMUNITARIO POPULAR CONVIVEN - PROGRAMA DE NIVEL SECUNDARIO FINES TRAYECTO ""CONVIVEN""",<a href='https://jpcib.github.io/sistemaBochi/pages/0200937.html'>MARTINIANO LEGUIZAMÓN 2974</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200940.html'>0200940</a>,CENS N° 64 - CENS N° 05 ([A] 1),<a href='https://jpcib.github.io/sistemaBochi/pages/0200940.html'>PIERES 258</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200945.html'>0200945</a>,CENTRO EDUCATIVO DE NIVEL PRIMARIO N° 05 - CENTRO EDUCATIVO DE NIVEL PRIMARIO N° 45 - CAEBYT N° 76 MARIA MADRE DE LA ESPERANZA - CFP N° 15,<a href='https://jpcib.github.io/sistemaBochi/pages/0200945.html'>MIRALLA 3838</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200946.html'>0200946</a>,JIN B (EPCJC 01/21°) [S] - EPC N° 01 CONCEJAL ALBERTO SALVATORI - CENS N° 67 - PI LOS GRILLITOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200946.html'>CAFAYATE 5115</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200948.html'>0200948</a>,EPC N° 03 CRISTOBAL COLON - EPA N° 03 CRISTOBAL COLON - JIN A (EPCJS 03/21°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200948.html'>AVDA. LARRAZABAL 4051</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200949.html'>0200949</a>,EEM N° 04/21° - EPC N° 04 PROVINCIA DE TUCUMAN - CAIYJ CLUB LUGANO - JIN A (EPCJS 04/21°) (SEDE) - PI RIESTRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200949.html'>AVDA. RIESTRA 5030</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200950.html'>0200950</a>,EPC N° 05 ARMADA ARGENTINA - EPA N° 05 ARMADA ARGENTINA - CECIE N° 21 - JII N° 06/21°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200950.html'>AVDA. LARRAZABAL 4520</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200951.html'>0200951</a>,EPC N° 06 REPUBLICA DE LA INDIA - JII N° 02/21°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200951.html'>NICOLAS DESCALZI 5425</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200952.html'>0200952</a>,JIC N° 04/21° - EPC N° 08 JUDITH Y DEMETRIO DEMARCHI - EPA N° 08 JUDITH Y DEMETRIO DEMARCHI - CECIE N° 25,<a href='https://jpcib.github.io/sistemaBochi/pages/0200952.html'>JOSE IGNACIO RUCCI 3961</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200953.html'>0200953</a>,JIC N° 03/21° - EPC N° 09 HECTOR PANIZZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200953.html'>BERON DE ASTRADA 5920</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200954.html'>0200954</a>,EPC N° 10 ITALO AMERICO FORADORI - JIC N° 07/21°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200954.html'>AVDA. LARRAZABAL 5001</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200955.html'>0200955</a>,EPC N° 13 DR. ALFREDO LANARI - JIN C (EPCJS 13/21°) - EPA N° 13 DR. ALFREDO LANARI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200955.html'>AVDA. PIEDRA BUENA 4863</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200956.html'>0200956</a>,JIN C (EPCJS 14/21°) [S] - EPC N° 14 DR. RICARDO LEVENE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200956.html'>CAÑADA DE GOMEZ 4548</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200957.html'>0200957</a>,EPC N° 15 DR. CARLOS ALBERTO VERONELLI - JII N° 01/21° - CENOF CENTRO CAFAYATE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200957.html'>CAFAYATE 5388</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200958.html'>0200958</a>,PI EL RINCONCITO DE CLAUDIO - EEM N° 05/21° JUAN MANUEL FANGIO - EPC N° 16 DR. SOFANOR NOVILLO CORVALAN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200958.html'>BERON DE ASTRADA 6351</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200960.html'>0200960</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 21,<a href='https://jpcib.github.io/sistemaBochi/pages/0200960.html'>SUMACA DE LA SANTISIMA TRINIDAD 5088</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200961.html'>0200961</a>,ESCUELA INF. N°05/21° HEBE SAN MARTIN DUPRAT,<a href='https://jpcib.github.io/sistemaBochi/pages/0200961.html'>FONROUGE 4211</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200962.html'>0200962</a>,ESC. DE COM. N° 12 JUAN XXIII,<a href='https://jpcib.github.io/sistemaBochi/pages/0200962.html'>AQUINO 6040</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200963.html'>0200963</a>,ESC. TEC. N° 13 ING. JOSE LUIS DELPINI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200963.html'>CNEL. MARTINIANO CHILAVERT 5460</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200964.html'>0200964</a>,ESEA DANZA RAMICONE  FOLK.N° 20 - ESEA ARTES VISUALES LOLA MORA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200964.html'>SOLDADO DE LA FRONTERA 5155</a>
