cui,entrega,texto
0200258,2023,"Armario 68, Banco largo comedor 10, Biblioteca 14, Escritorio 37, Locker 9, Mesa pupitre doble 210, Mesa usos múltiples 42, Pizarrón 64, Silla escolar 739, Varios 73, NA 93"
0200259,2021,"Escritorio 6, Mesa pupitre doble 90, Pizarrón 6, Silla escolar 186"
0200259,2022,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200259,2023,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200261,2022,"Armario 6, Mesa inicial 10, Silla escolar 60"
0200262,2021,"Escritorio 2, Mesa pupitre doble 30, Mesa trabajo estante 4, Pizarrón 2, Silla escolar 62, Varios 8"
0200262,2022,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200262,2023,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200266,2021,"Armario 2, Escritorio 2, Mesa inicial 1, Mesa pupitre doble 30, Mesa usos múltiples 2, Silla escolar 68, Varios 4"
0200275,2021,"Mesa trabajo estante 3, Varios 6"
0200278,2021,"Mesa trabajo estante 3, Varios 6"
0200280,2021,Varios 2
0200281,2021,"Escritorio 2, Mesa pupitre doble 30, Mesa trabajo estante 9, Silla escolar 60, Varios 18"
0200281,2023,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200290,2021,Armario 6
0200294,2023,Mesa integradora con escotadura 3
0200295,2022,Silla escolar 12
0200298,2021,Mesa usos múltiples 7
0200298,2022,Pizarrón 6
0200300,2022,"Banco largo comedor 10, Escritorio 5, Mesa pupitre doble 90, Silla escolar 183"
0200300,2023,Pizarrón 1
0200301,2021,"Armario 14, Escritorio 4, Mesa pupitre doble 26, Pizarrón 7, Silla escolar 108"
0200302,2021,"Escritorio 2, Mesa inicial 10, Mesa pupitre doble 30, Silla escolar 122"
0200303,2021,"Banco largo comedor 8, Mesa usos múltiples 4"
0200303,2022,Pizarrón 5
0200304,2021,"Banco largo comedor 16, Mesa usos múltiples 8"
0200304,2023,Pizarrón 7
0200305,2021,"Escritorio 2, Mesa integradora con escotadura 2, Mesa pupitre doble 30, Silla escolar 62"
0200305,2022,Pizarrón 3
0200307,2021,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200308,2022,"Banco largo comedor 12, Mesa usos múltiples 6"
0200309,2021,"Escritorio 2, Mesa integradora con escotadura 2, Mesa pupitre doble 30, Silla escolar 62"
0200309,2022,"Banco largo comedor 10, Escritorio 3, Mesa pupitre doble 45, Silla escolar 62"
0200310,2021,"Banco largo comedor 20, Mesa usos múltiples 10, Pizarrón 7"
0200310,2022,Armario 10
0200311,2021,Armario 6
0200311,2022,"Armario 2, Mesa pupitre doble 60, Pizarrón 1, Silla escolar 120"
0200312,2021,"Banco largo comedor 140, Escritorio 2, Mesa pupitre doble 30, Mesa usos múltiples 70, Pizarrón 5, Silla escolar 155"
0200312,2022,"Armario 2, Mesa inicial 10, Mesa pupitre doble 48, Pizarrón 5, Silla escolar 156"
0200312,2023,"Juego de patio 1, Mesa inicial 10, Piso antigolpe para juegos 60, Pizarrón 10, Silla escolar 60"
0200313,2021,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200313,2022,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200315,2023,Varios 1
0200316,2022,"Armario 10, Biblioteca 5, Mesa inicial 10, Pizarrón 6, Silla escolar 180"
0200317,2021,"Mesa inicial 5, Silla escolar 20"
0200317,2022,"Armario 2, Escritorio 1, Juego de patio 1, Mesa inicial 10, Piso antigolpe para juegos 36, Pizarrón 2, Silla escolar 63"
0200318,2022,"Escritorio 4, Mesa pupitre doble 75, Mesa usos múltiples 35, Pizarrón 3, Silla escolar 183"
0200318,2023,"Armario 5, Escritorio 2, Mesa pupitre doble 30, Pizarrón 17, Silla escolar 62"
0200319,2022,"Escritorio 6, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 150"
0200319,2023,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200320,2021,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200322,2021,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200322,2022,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200322,2023,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200323,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
