cui,ano,prestaciones,descripcion_obra
0200124,2021,Otros Servicios,Reja de Protección en Escalera
0200124,2022,Albañileria / Pintura,Adecuación de Instalación Cloacal y Reem
0200125,2021,Otros Servicios,Instalación de purificadores
0200125,2021,Sanitarias,Reemplazo de termotanque
0200126,2021,Gas,"Adecuación Instalación de Gas y bombeo., Tareas complementarias Gas"
0200126,2021,Saneamiento,Limpieza de Tanques
0200126,2022,Albañileria / Pintura,Pintura Hall de planta baja
0200126,2022,Carpinterías,Protección de Carpinterías Aulas 1P-2P
0200126,2022,Otros Servicios,Arreglo filtración Baño Jardín
0200126,2022,Sanitarias,Reposición de inodoro baño nenas PB
0200126,2023,Electricidad,Reemplazo de portero eléctrico
0200127,2021,Incendio,Reemplazo central de incendio
0200127,2023,Otros Servicios,Cambio de termotanque casa casera
0200128,2022,Cubiertas / Impermeabilizaciones,Reparacion  de filtracion en techo
0200128,2022,Electricidad,Colocar iluminación de emergencia
0200128,2022,Gas,"Reemplazar cocina de casa de casera, Reposición de calefon"
